package	files	imports	sample_files
react	642	1151	services/claudeAiLimitsHook.ts, services/mcpServerApproval.tsx, services/mcp/MCPConnectionManager.tsx
path	252	258	projectOnboardingState.ts, services/analytics/metadata.ts, services/analytics/firstPartyEventLoggingExporter.ts
bun:bundle	196	196	services/analytics/metadata.ts, services/teamMemorySync/teamMemSecretGuard.ts, services/teamMemorySync/watcher.ts
fs	169	202	services/analytics/firstPartyEventLoggingExporter.ts, services/teamMemorySync/index.ts, services/teamMemorySync/watcher.ts
zod	128	128	services/teamMemorySync/types.ts, services/api/bootstrap.ts, services/settingsSync/types.ts
crypto	117	127	remote/remotePermissionBridge.ts, remote/SessionsWebSocket.ts, services/analytics/firstPartyEventLogger.ts
@anthropic-ai/sdk	116	135	services/api/logging.ts, services/api/claude.ts, services/api/client.ts
lodash-es	107	124	projectOnboardingState.ts, services/analytics/growthbook.ts, services/analytics/metadata.ts
figures	89	89	services/diagnosticTracking.ts, services/plugins/pluginCliCommands.ts, commands/sandbox-toggle/index.ts
axios	59	62	services/analytics/firstPartyEventLoggingExporter.ts, services/analytics/datadog.ts, services/teamMemorySync/index.ts
os	59	59	screens/REPL.tsx, commands/copy/copy.tsx, commands/terminalSetup/terminalSetup.tsx
chalk	47	47	services/tips/tipRegistry.ts, cost-tracker.ts, commands/tag/tag.tsx
@modelcontextprotocol/sdk	25	44	services/mcp/auth.ts, services/mcp/SdkControlTransport.ts, services/mcp/xaa.ts
child_process	24	25	services/voice.ts, services/lsp/LSPClient.ts, services/preventSleep.ts
diff	19	19	services/api/promptCacheBreakDetection.ts, native-ts/color-diff/index.ts, hooks/useDiffData.ts
url	17	17	services/mcp/auth.ts, services/mcp/xaaIdpLogin.ts, services/lsp/passiveFeedback.ts
execa	16	16	commands/remote-setup/remote-setup.tsx, commands/thinkback/thinkback.tsx, utils/auth.ts
usehooks-ts	14	14	hooks/useInboxPoller.ts, hooks/usePasteHandler.ts, hooks/useMemoryUsage.ts
strip-ansi	12	12	QueryEngine.ts, hooks/useTextInput.ts, ink/stringWidth.ts
@opentelemetry/api	10	10	services/analytics/firstPartyEventLoggingExporter.ts, entrypoints/init.ts, utils/telemetry/betaSessionTracing.ts
@ant/computer-use-mcp	7	10	utils/computerUse/wrapper.tsx, utils/computerUse/gates.ts, utils/computerUse/hostAdapter.ts
util	7	7	utils/getWorktreePathsPortable.ts, ink/ink.tsx, components/CustomSelect/use-multi-select-state.ts
ws	6	8	remote/SessionsWebSocket.ts, services/voiceStreamSTT.ts, services/mcp/client.ts
http	6	7	services/voiceStreamSTT.ts, services/mcp/auth.ts, services/mcp/oauthPort.ts
stream	6	6	cli/remoteIO.ts, ink/root.ts, utils/staticRender.tsx
semver	5	8	hooks/useUpdateNotification.ts, utils/semver.ts, ink/terminal.ts
chokidar	5	6	utils/cronScheduler.ts, keybindings/loadUserBindings.ts, utils/skills/skillChangeDetector.ts
@alcalzone/ansi-tokenize	5	5	ink/screen.ts, utils/textHighlighting.ts, ink/output.ts
async_hooks	5	5	utils/workloadContext.ts, utils/agentContext.ts, utils/telemetry/sessionTracing.ts
ignore	5	5	skills/loadSkillsDir.ts, hooks/fileSuggestions.ts, utils/claudemd.ts
lru-cache	5	5	services/lsp/LSPDiagnosticRegistry.ts, utils/memoize.ts, utils/fileStateCache.ts
marked	5	5	commands/copy/copy.tsx, utils/claudemd.ts, components/Markdown.tsx
qrcode	5	5	commands/session/session.tsx, commands/mobile/mobile.tsx, bridge/bridgeUI.ts
react-reconciler	4	5	ink/render-to-screen.ts, ink/reconciler.ts, ink/ink.tsx
@ant/claude-for-chrome-mcp	4	4	services/mcp/client.ts, skills/bundled/claudeInChrome.ts, utils/claudeInChrome/setup.ts
@opentelemetry/sdk-logs	4	4	services/analytics/firstPartyEventLogger.ts, services/analytics/firstPartyEventLoggingExporter.ts, utils/telemetry/instrumentation.ts
net	4	4	services/oauth/auth-code-listener.ts, utils/ide.ts, utils/hooks/ssrfGuard.ts
process	4	4	cli/handlers/util.tsx, cli/handlers/mcp.tsx, cli/print.ts
type-fest	4	4	types/hooks.ts, ink/components/Button.tsx, ink/components/ScrollBox.tsx
@commander-js/extra-typings	3	3	commands/mcp/addCommand.ts, commands/mcp/xaaIdpCommand.ts, main.tsx
@opentelemetry/api-logs	3	3	services/analytics/firstPartyEventLogger.ts, utils/telemetry/instrumentation.ts, bootstrap/state.ts
@opentelemetry/sdk-metrics	3	3	utils/telemetry/instrumentation.ts, utils/telemetry/bigqueryExporter.ts, bootstrap/state.ts
buffer	3	3	ink/parse-keypress.ts, ink/termio/osc.ts, tools/FileReadTool/imageProcessor.ts
fuse.js	3	3	hooks/unifiedSuggestions.ts, utils/suggestions/commandSuggestions.ts, components/LogSelector.tsx
vscode-languageserver-protocol	3	3	services/lsp/passiveFeedback.ts, services/lsp/LSPClient.ts, services/lsp/LSPServerInstance.ts
undici	2	6	utils/proxy.ts, utils/mtls.ts
highlight.js	2	5	native-ts/color-diff/index.ts, utils/cliHighlight.ts
@anthropic-ai/mcpb	2	4	utils/plugins/mcpbHandler.ts, utils/dxt/helpers.ts
@aws-sdk/client-bedrock-runtime	2	3	services/tokenEstimation.ts, utils/model/bedrock.ts
@smithy/node-http-handler	2	3	utils/proxy.ts, utils/model/bedrock.ts
google-auth-library	2	3	services/api/client.ts, utils/auth.ts
image-processor-napi	2	3	utils/imagePaste.ts, tools/FileReadTool/imageProcessor.ts
readline	2	3	bridge/bridgeMain.ts, bridge/sessionRunner.ts
sharp	2	3	tools/FileReadTool/imageProcessor.ts, tools/FileReadTool/FileReadTool.ts
shell-quote	2	3	utils/bash/commands.ts, utils/bash/shellQuote.ts
tls	2	3	utils/mtls.ts, utils/caCerts.ts
@opentelemetry/core	2	2	services/analytics/firstPartyEventLoggingExporter.ts, utils/telemetry/bigqueryExporter.ts
@opentelemetry/resources	2	2	services/analytics/firstPartyEventLogger.ts, utils/telemetry/instrumentation.ts
@opentelemetry/sdk-trace-base	2	2	utils/telemetry/instrumentation.ts, bootstrap/state.ts
